	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27
hsa-miR-92a-3p	4372345.85487277	3956098.31233681	4056589.08809297	238882.102003423	284865.811655991	278840.349397687	230553.873198546	2523954.09999969	2548328.82268328	1972611.4842184	2522081.20569757	3977018.5471904	3875053.71604776	4043217.62407363	4062387.10126795	1221811.92650208	1081104.2060995	979928.491296432	1161332.01451342	3241902.57811384	3069128.50887348	3274209.82512573	3173818.54374756	1712618	1894145.45109057	1736286.78604803	2724226.9022073
hsa-miR-92b-3p	929444.297454296	960676.289957445	897703.805949149	44273.1780066193	54240.7208350424	55443.5110253609	45938.5329818126	308845.675656026	282505.739384917	244557.265546264	289173.307432213	1767955.89782672	1671653.62420421	1654819.41146951	1755648.51198576	391547.621915147	287460.777116431	298325.911133083	317628.024208765	2120135.96769678	2057061.15247239	2057200.9000445	2221232.60076934	1257410	1404517.98162194	1305876.87185119	2382424.55598756
hsa-miR-10a-5p	717.408209835603	647.858036859727	607.193112485675	1198129.50914784	1067405.5410643	1096971.68908388	1116774.32412339	18253.5326135004	15942.5494626645	280897.27854164	18188.2488525825	560.291007059685	594.528180871532	440.762731026287	417.191167151261	282431.38308006	336343.84443506	321051.889636577	309611.329125209	5308.91892623694	4382.27861738346	6092.98609929767	5569.50991763022	1759144	1604740.51317976	1768179.50387016	500405.593528284
hsa-miR-10b-5p	674.092997166283	575.873810541979	561.795496598896	1088901.03064507	973804.965957429	998939.627930157	1014503.36501084	17889.9980228809	15743.3367654566	257202.185077595	18130.7902835479	510.853565260301	552.888074818273	420.544257125998	380.44375864571	273523.179609933	324228.228281479	309540.721389783	298996.374158747	5229.33195820694	4385.48672764509	6088.19727082036	5547.66258256527	1789225	1648554.79965953	1804857.75630793	483752.909830062
hsa-miR-191-5p	295618.204865729	361969.082827477	320810.764716906	165930.496817207	166565.189751138	168698.088002685	172750.216239935	295789.151626734	303970.907509067	272507.705493713	306567.583330863	278236.276610828	285618.740776204	306103.651155586	278504.285839045	148231.518684352	175679.25706386	176605.965412359	186415.900122029	363838.846728709	272049.354241161	347734.394775243	294939.023376888	165241	141797.702287939	163794.74197915	219857.937546161
hsa-miR-22-3p	29676.3350800675	33130.7401627432	36468.4723120485	581309.175244602	664694.451439683	658634.965574559	625925.194901575	66680.4362484196	72258.8722261272	171324.125259281	63413.3661890727	23974.805108806	27494.0366912769	25145.7159897887	22431.0504742417	729430.103950355	766609.119592844	715499.175188178	641196.909537696	16111.6794397217	22658.8827778766	13941.8759736091	15575.5893773794	8637	8138.54923607977	6737.86539617807	10759.6362423682
hsa-miR-26a-5p	163441.833405301	181490.230603621	175895.90010432	132741.266763512	151801.46561135	147299.938425998	132716.404461301	201377.682381198	199505.982567665	180206.252643997	182436.180191067	137735.067016979	150144.969071151	138872.609831521	133364.991915707	155073.068302337	162084.474352852	179637.135732088	184185.187678075	140588.03823183	173552.348933536	145775.131401641	157928.143088824	91062	78052.3809966926	80453.4596831328	101566.267352576
hsa-miR-21-5p	14938.3339693315	16844.3089583529	16326.1176132831	548389.967225302	541965.09017168	507575.945733642	533744.973721106	105906.330596814	115969.458205158	209707.027553142	111683.787684396	17088.8757153204	21331.3009953945	16184.8883571809	15507.4063893427	399351.553625473	491190.56486951	449679.056231677	414907.891337162	26970.618989463	42505.8569114364	25353.6542350393	27343.5003577239	19971	23167.0315884913	18226.4023583403	24827.9934815447
hsa-miR-181a-5p	35039.2998486876	41866.0260264019	26915.1115188744	44029.245057673	51554.0026719022	47331.4995674102	44226.015348703	20194.0904986383	21277.022799009	25709.7214481231	20194.0752625169	72058.6026684449	81718.7081295208	70584.7142332968	76170.8929952132	151134.087751315	171786.564921318	178768.858813743	148373.584380945	141554.785814077	160660.557847185	182203.749628539	162578.504409793	138507	148848.914986405	138104.160690204	135604.419957104
hsa-miR-143-3p	1210.11875394911	1184.14052292694	961.86198660114	487905.031520796	498012.119265117	463343.042473316	492362.430569575	15442.5397930764	15892.7462883625	120243.818135906	16260.7750367861	612.082612754278	698.628446004679	646.991164809228	657.130128569863	377281.541219394	413850.478342064	426360.361747996	371220.601722363	821.618405250955	782.778903837163	541.137617936052	546.183376623866	930	1149.7673436013	973.841186960542	1057.22446051863
hsa-let-7a-5p	1721.77970360545	2130.73309900532	1435.6996024194	447204.753766391	435310.692428287	444067.460765428	447342.024815918	13435.4192364166	12611.2704704659	102362.480778221	13016.9776394703	1087.62371958645	1061.82270435811	1079.6665062754	992.180029649891	151643.03981938	141288.634603685	151951.060341764	116579.575102044	2724.68325843907	1847.87151069756	2386.43285785958	2103.58626196849	2611	2450.40913500548	2870.39108805792	2108.85514082288
hsa-let-7f-5p	1423.98761650388	1817.60171452312	1177.50066206334	417604.077416178	407444.021409894	416282.008617719	416779.029485131	12687.8692331708	11936.1607743725	95240.6295479307	12102.8640411929	666.228382344079	677.80839297805	691.471807389863	665.776577629992	146137.103810316	127149.044362938	140551.676249129	109383.50480357	1329.57052473659	980.077684927267	1186.03318621382	1093.92727718094	1113	1083.86815950349	1148.15643522317	1113.16226266248
hsa-miR-30a-5p	28666.5491847139	32526.0726616742	27649.9854260416	73626.008045068	67132.0555939074	63726.0334755421	68499.4679561537	25483.262781877	25742.7074280858	33586.5535061143	25532.498676457	19673.7476722596	24012.4611573794	19785.7985588222	18639.5825613748	73551.2852303225	91589.7674089177	97990.5094613004	88999.6474659703	106988.292964103	148601.271373727	104520.970345772	117332.673490272	44735	49401.8436156413	39769.4428402908	64160.6590589879
