	sample-1	sample-2	sample-3	sample-4	sample-5	sample-6	sample-7	sample-8	sample-9	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
Q9UII2-1	69734.9248880862	76022.7809483953	74048.9949531839	28709.0619645635	428520.138189216	46489.4518189798	16752.3877168008	69687.5079972993	86101.5309750362	32518.1089218678	162348.148842908	28457.240830387	40696.2177506249	341665.785041136	16024.420808696	79839.5829690194	50753.7673751347	22528.3338386713	25246.6187473704	93754.5589935557	42407.1497060629	13863.3373485398	53426.8264335004	67887.1028690754
P09326	111127.22936908	424100.745398098	124854.263880331	545122.745502043	80140.3111121877	1573808.26231937	200601.771317213	82483.8717664826	181587.041739763	590521.96329078	139429.775111982	134218.878343086	94484.7295041056	118828.96446235	259480.580752614	111439.889757291	167088.832011362	29936.0778446642	132391.637432742	108202.354893662	116036.565594714	157170.342144829	287556.416090372	73303.5833638593
P07437	557776.56357638	147949.742585322	233622.701759526	268308.143837121	310030.64755924	328840.605615726	114563.831765249	558013.03968851	313979.14572175	463551.064024638	374105.282009727	72793.4289676427	191240.497211795	1059889.91919041	124528.733259342	395628.962908282	336878.247978388	1246922.72759551	98311.9164445933	297754.365960999	676120.266323505	101639.995183233	62347.1273357244	537041.260218684
P13569-1	590802.258343831	128535.668482785	217865.979647561	287474.991700062	577526.272406716	432240.931014992	408793.94920988	678342.036649135	324456.442384889	485780.453579036	534379.726794946	204168.657271483	305406.996259902	1366914.72928027	108751.605413233	363004.93605747	388510.3559989	1294124.46095827	145809.165423285	674884.625704339	754871.269005983	196744.867170673	84482.6245171527	618557.067974915
Q96H12	210776.403490126	120835.168631835	131816.757531392	102258.959824265	174177.986240783	68319.4214553879	57734.1542894903	289750.192150348	244572.361122457	99598.5215330822	183570.329183649	44925.5659236153	117424.166448956	158937.107672747	69913.4712478139	80399.8702872289	67807.8851737761	101035.752133586	63752.7746900309	58584.6463055495	120123.41402215	44025.650023642	89590.5007173863	191187.220759587
P08727	131350.501799792	170130.548933018	210438.051420024	286760.388308696	174952.697275468	1165589.56167381	376864.809046263	203001.411019082	158787.561258133	271186.310612968	214031.004868872	314064.636504287	180831.232571607	315973.556491365	508750.491759254	194801.614163394	164475.918629426	123901.032186898	223664.627795624	237387.371958921	137421.520309244	268557.943748575	412882.135923364	239210.554350253
P01834	79661.4586886909	5109.41604993387	9507.95965575903	20947.3572092573	17435.7912142038	22558.6216603606	6278.58237291987	40863.5980044197	20019.6495895389	50144.508980284	27234.6446771517	2330.17266351888	10027.7427795163	85511.9717416168	1483.17302409801	22847.739790787	32969.4131747275	178666.062746974	5074.74231329419	15434.0945611061	56105.4705358983	16211.9194366512	2002.40777199234	77419.1220341568
Q9H7P9-1	49924.462746352	38532.8917099873	56668.0195875691	36735.746639782	121668.36094933	34343.3840727796	25415.2703191622	56992.7578645428	25559.313551379	25963.2043330628	103797.01087855	66239.1161875499	64043.5792884402	242369.026671549	14567.4586346928	84942.5719435606	15478.2845322511	40721.3412950224	25159.9353308977	98939.1537322997	54760.440097299	16779.1678762523	55721.6646155544	40379.795841841
Q8N2S1-2	12782.6540990857	47790.8671936692	20194.2062842568	75019.9022428843	5094.5589209842	106247.570535059	31520.4254778274	27685.8514259762	19766.8264996029	79247.7411797891	11715.392243702	21019.7538601543	18237.9090943043	35453.3379551346	36885.7842884487	2264.50658331695	43560.1136723136	28250.9736881759	60486.4701658856	14257.0155081517	8425.05502197182	6321.94080371498	15947.7914549191	14596.8495078557
P15586	331458.132674082	309766.751201746	230515.495174385	233395.629311415	210819.356734753	263165.347243876	834233.460828465	286309.306961833	102626.844922916	224015.850562034	394822.559204175	406630.938086093	946151.971322647	259725.256611647	492101.612739313	639689.063093595	458610.619260205	173410.802842967	570425.123359666	316090.875523986	105439.998112878	325997.74387907	582722.763733268	319771.494599248
P36269-1	22122.0135545128	7989.38910763446	7637.87036067082	259067.202867362	13580.7624196246	36216.7889188216	4980.27957458036	9500.16044097843	6100.02162138068	26148.4661148033	16293.4697888746	26525.6691454168	38933.9761951056	4755.37887196774	30390.6735433247	35454.2830100303	44266.1836119806	2846.71757541879	69129.3484765887	13179.0854105903	4444.74053053239	10185.942655059	19811.30697399	10407.6828102812
Q9H2H0	41411.5036465927	56870.3905809996	29970.587332238	67088.2638886439	45610.1251944806	93534.3634440669	106099.128965001	77086.0905313402	41169.7678810103	42286.3536350608	63209.7039023578	125861.826463229	74578.6276959719	52562.7584525375	103485.550309211	60799.3209696113	45719.1006536191	27190.1632512183	84620.3663958101	110300.754163645	65388.4077106759	84382.1276647129	144554.03144286	58552.20781075
P43487	69641.2804349512	55933.5962566072	71256.5286972658	123563.122484889	265664.246101021	65010.7946449295	103916.402945258	184207.846364474	533426.268454065	84691.3595467714	146143.269470208	37118.2098383244	165461.223129144	236983.307039774	47631.8542778271	461704.607410684	68511.405946963	71796.7358890685	62854.5001333697	50403.2479125822	1022817.70447855	167547.299557621	34295.2359451272	312136.409369709
Q5VYS8-1	1412179.56767716	2226605.16781761	823676.602253143	1146707.04083311	716638.089726376	957102.011513234	439311.203552616	2120363.41437484	1244644.40712324	1575482.6341453	1013851.48339846	1483587.58115439	1491778.5692486	860841.994884199	2647235.75879361	930715.656466494	1028886.59215694	521843.482346302	1535873.250124	845610.823294719	1157201.10955492	1495896.46788872	958925.195458403	673289.011649211
Q687X5-1	372306.90730113	1036071.91760162	737341.623184347	1010746.31730473	586604.564170251	919549.758049182	710486.46956229	366648.294596638	670978.809687978	363921.11739286	716180.699893453	1054448.56579188	839244.196228533	786627.200710208	1332024.4623285	860734.086684284	601380.893487005	163266.206027997	443847.083922974	607417.279570906	522419.84621279	1423006.7806079	851204.367450097	558806.852725577
Q9UBX1	68560.7045995927	117541.798990669	142491.645563854	94484.5543646362	175910.406698992	214445.431760924	259067.473527078	130360.528660451	69592.1357595684	91916.22938279	92923.6501063654	108722.171702904	142934.364091223	171195.627928076	186164.728737535	48881.9006030422	101561.814740397	46470.0533978132	167533.331257472	90857.3426093908	35970.2206868176	86007.6920289202	157459.541767325	86777.8888607944
