ID	NAME	CLONE_ID	5ACC	3ACC	GB_LIST
1	SID W 60204, Homo sapiens C2H2 zinc finger protein pseudogene, mRNA sequence [5':T39154, 3':T40438]	IMAGE:60204	T39154	T40438	T39154,T40438
2	 EST Chr.X [60298, (D), 5':T39213, 3':T40480]	IMAGE:60298	T39213	T40480	T39213,T40480
3	RPL3 Ribosomal protein L3 Chr.22 [60436, (EW), 5':T39295, 3':T40510]	IMAGE:60436	T39295	T40510	T39295,T40510
4	ESTSID  60474,  [5':T39311, 3':T40516]	IMAGE:60474	T39311	T40516	T39311,T40516
5	SID  60218,  [5':T39165, 3':T40450]	IMAGE:60218	T39165	T40450	T39165,T40450
6	 EST Chr.18 [60268, (IR), 5':T39192, 3':T40467]	IMAGE:60268	T39192	T40467	T39192,T40467
7	 ESTs Chr.10 [60209, (RW), 5':T39163, 3':T40448]	IMAGE:60209	T39163	T40448	T39163,T40448
8	 Human 53K isoform of Type II phosphatidylinositol-4-phosphate 5-kinase (PIPK) mRNA, complete cds Chr.10 [60605, (RW), 5':T39411, 3':T40568]	IMAGE:60605	T39411	T40568	T39411,T40568
9	SID  60664, ESTs [5':T39448, 3':T40595]	IMAGE:60664	T39448	T40595	T39448,T40595
10	Human ribosomal protein S6 mRNA, complete cdsSID  60630,  [5':T39422, 3':T40578]	IMAGE:60630	T39422	T40578	T39422,T40578
11	CSH1 Chorionic somatomammotropin hormone 1 (placental lactogen) Chr.17 [60932, (IW), 5':T39603, 3':T40692]	IMAGE:60932	T39603	T40692	T39603,T40692
12	 ESTs Chr.17 [60731, (I), 5':T39509, 3':T40644]	IMAGE:60731	T39509	T40644	T39509,T40644
13	Ribosomal protein L17SID  60561,  [5':T39375, 3':T40540]	IMAGE:60561	T39375	T40540	T39375,T40540
14	 EST, Moderately similar to glycophorin HeP2 [H.sapiens] Chr.19 [60882, (R), 5':T39573, 3':T40668]	IMAGE:60882	T39573	T40668	T39573,T40668
15	SID W 60694, Homo sapiens mRNA for SH3 binding protein, complete cds, clone:RES4-23A [5':T39472, 3':T40608]	IMAGE:60694	T39472	T40608	T39472,T40608
16	SID  60566, EST [5':T39368, 3':T40535]	IMAGE:60566	T39368	T40535	T39368,T40535
17	 ESTs, Weakly similar to Y48E1B.1 [C.elegans] Chr.12 [61249, (I), 5':T39844, 3':T40837]	IMAGE:61249	T39844	T40837	T39844,T40837
18	SID W 61259, ESTs [5':T39848, 3':T40841]	IMAGE:61259	T39848	T40841	T39848,T40841
19	  Chr. [61228, (I), 5':, 3':T40812]	IMAGE:61228		T40812	T40812
20	*Hemoglobin gamma G SID  61196, ESTs [5':T39784, 3':T40792]	IMAGE:61196	T39784	T40792	T39784,T40792
21	  Chr. [61092, (I), 5':T39713, 3':T40747]	IMAGE:61092	T39713	T40747	T39713,T40747
22	SID  61144, EST [5':, 3':T40769]	IMAGE:61144		T40769	T40769
23	 ESTs Chr.2 [61044, (RW), 5':T39681, 3':T40725]	IMAGE:61044	T39681	T40725	T39681,T40725
24	 Human mRNA for KIAA0203 gene, complete cds Chr.8 [61008, (REW), 5':T39659, 3':T40715]	IMAGE:61008	T39659	T40715	T39659,T40715
25	 EST Chr.18 [60955, (R), 5':T39626, 3':T40701]	IMAGE:60955	T39626	T40701	T39626,T40701
26	SID  61574, Alcohol dehydrogenase 3 (class I), gamma polypeptide [5':T40080, 3':T40995]	IMAGE:61574	T40080	T40995	T40080,T40995
27	SID W 61539, Cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 9 [5':T40065, 3':T40987]	IMAGE:61539	T40065	T40987	T40065,T40987
