	number of maldi peptides	number of qtof peptides	number of peptides
P98088	264	321	585
B7Z597	0	269	269
D1MGQ2,P69905	293	1275	1568
P14625,Q5CAQ5	65	92	157
B4DW52	71	83	154
P07237	69	130	199
Q05707-1	0	159	159
D9YZU5,P68871	245	983	1228
P04406,Q2TSD0	0	108	108
D0PNI1,P63104	20	100	120
D9ZGF2,P12111-1,P12111-2	119	158	277
B2R4S9,P62807,O60814	0	672	672
C9JCD7,Q0VAC0,P09651-1,Q6IPF2,P0C7M2,P09651-2,P09651-3	0	144	144
P06899,Q16778	0	650	650
P31949	18	180	198
P12109	60	83	143
B4DFL2,Q53GL5,P48735	0	142	142
A8K3E4,D3DP14,D3DP15,P02671-1,P02671-2	53	64	117
Q4TWB7	217	900	1117
B4DGP8,P27824,D3DWQ3	0	123	123
B4DE02,Q6LES2,P09525	0	98	98
P11142-1,Q53GZ6,Q96IS6	0	100	100
B3VL17	0	896	896
P02675	106	0	106
B4E1D3,P02675	0	92	92
B8ZZ37,P22626-1,P22626-2	0	99	99
D3DRU4,P08670	0	212	212
P06576	0	232	232
P06733-1,P06733-2	0	88	88
Q670S4	178	805	983
B3KQT9,P30101	0	93	93
P78527-1,P78527-2	47	128	175
O43707	87	60	147
B4E3A4,Q1KLZ0,Q53GK6,Q53G99,Q53G76,P63261,Q8WVW5,P60709	0	85	85
A0N071,P02042	174	762	936
P35579-1,Q60FE2	55	93	148
P27797,Q53G71	90	34	124
Q08211	72	63	135
B2R7D7,Q4JM47,Q53G64,Q4JM46,O95994	0	77	77
P05787	137	285	422
P51884	15	71	86
C9JC84,P02679-2,P02679-1,C9JEU5	0	68	68
P61604,Q9UNM1	26	49	75
P01009-1,P01009-2,P01009-3	0	60	60
P09651-1,P09651-2,P09651-3	112	0	112
P20700	34	65	99
P22626-1	140	0	140
A8K401,Q6PUJ7,P35232	27	107	134
D6W4Z5,P27348	0	63	63
B4DDB6,D3DPF4,P51991-1,B4E3E6,P51991-2	0	78	78
P60709,Q1KLZ0,Q8WVW5,Q53G76,Q53G99,Q53GK6,P63261	89	0	89
D3DTH5,Q4VJB6,P62258	0	59	59
D3DQL6,P06748-1,P06748-2	0	81	81
B3KY95,B5MBW7,B7Z254,Q53RC7,Q15084-1,Q15084-2	0	57	57
P40926,Q6FHZ0,Q75MT9	31	47	78
P11021	86	0	86
P05141	0	69	69
B3KNB4,B4DHC4,P61981	0	56	56
D3DNB6,Q6IBR0,Q53EP4,Q96HX3,P04843	35	45	80
Q05707-1,Q05707-2	95	0	95
P16104	0	126	126
A8K220,B2RE56,A8K486,P62937	0	51	51
P68371,Q8IZ29	41	87	128
P31946-1,P31946-2	0	64	64
P68431	0	107	107
P45973,Q6I9T7	0	75	75
P30101	76	0	76
P02545-1,Q5I6Y6	140	0	140
P52272-1,P52272-2	31	25	56
A8K5I0,B4DWK5,Q59EJ3,P08107,B4DNT8,B4DI39	0	69	69
A3KPC7,P0C0S8,Q9BTM1-1,Q99878,Q7L7L0,Q96KK5,Q16777,P20671,Q6FI13,Q93077,Q08AJ9,B2R5B3,P04908,A4FTV9	0	138	138
D3DVB0,P02545-2	143	0	143
P13010	18	68	86
P0C0S5,Q71UI9	27	114	141
P11142-1	86	0	86
A8K3K1,B7Z6P1,P68032,P68133	0	49	49
Q8TDL5-1	0	47	47
B4DNK4,B4DUU6,P14618-1	0	45	45
B1AHC8,B1AHC9,B2RDN9,B4DE32,B4E356,P12956	0	93	93
B7ZAP6	61	0	61
P04406	65	0	65
A8K9C4,Q5VTE0,Q6IPN6,Q6IPS9,Q6IPT9,Q9H2I7,Q53G85,Q53GA1,Q53GE9,Q53HM9,Q53HQ7,P68104,Q53HR5	0	48	48
B5BUB5,P05455	13	45	58
D3DU00,Q00610-1,Q00610-2	37	15	52
C9JC84,C9JEU5,P02679-1,P02679-2	52	0	52
B7Z4V2,P38646,Q8N1C8	0	45	45
B2RA03,P05783	57	39	96
A8K9A4,D3DS22,D3DS19,B4DY08,P07910-1,P07910-2,B2R5W2,B2R603	0	57	57
B5BU38,Q5TZZ9,P04083	21	81	102
Q4TZM4	142	342	484
B2R7D7,O95994,Q4JM46,Q4JM47,Q53G64	41	0	41
P42704	10	48	58
D2JYH4,D6W5H8,P62736,P63267	0	52	52
B4DUI5,D3DUS9,B7Z5D8,Q53HE2,P60174-1	0	22	22
Q5TEC6	27	92	119
A8K590,C9JFV5,Q59GP7,Q12906-1,Q12906-2,Q12906-3,Q12906-4,Q12906-5,Q12906-6	0	62	62
P12814,Q1HE25	72	0	72
B7ZAF0,Q5JP53,Q5ST81,Q5SU16,B7ZAK1,P07437	0	89	89
A2A3L9,B4DVZ3,B4DW12,P20142,Q4VXA6,Q8IUM8	0	46	46
A8K525,D3DVV4,Q15233	49	0	49
B4DY09,Q12905	13	62	75
A8MUB1,B3KT06,B3KPS3,P68366,P68363	0	49	49
B3KX72,Q00839-1,Q96BA7,Q5RI17,B4DLR3,Q00839-2	0	47	47
B0UXD8,P01903,B4DVL4,Q30118,Q5SP06,Q7YPT8	0	34	34
Q14980-1,Q4LE64	53	0	53
P09525,Q6LES2	55	0	55
Q96SI9-1,Q96SI9-2	11	45	56
B4DJ30,Q14697-1,Q14697-2	34	24	58
A8K9U8,Q2TUW9,B2MV13,B3KSL2,B3VMW0,Q5DSM0,Q5EK51,B7Z4X2,B7ZAL5,P02788	0	21	21
B2R7D6,B4DVY9	23	0	23
B4DGP8,D3DWQ3,P27824	70	0	70
B4DKD0,Q71UH4,Q02880-1,Q02880-2	19	0	19
A8K5I0,Q59EJ3,P08107	64	0	64
A4FU77,O75643-1	23	0	23
B4DDZ5,P40939	0	104	104
D3DPF4,P51991-1	85	0	85
Q14980-1,Q4LE64,Q14980-2	0	64	64
P23246-1,Q9BSV4	62	0	62
B3KTS5,P21796,D3DQ93	0	49	49
A8K4W6,B7Z7A9,P00558	23	0	23
Q14887	67	0	67
P04075	33	0	33
Q9Y2X3	15	93	108
P48735,Q53GL5	55	0	55
A6NIZ1,B4DQI8,B4DW74,B4DW94,Q5U0C3,B7ZAY2,B7ZB78,A8KAH9,P61224,P62834	9	42	51
A7Y9J9	40	66	106
O75372	0	125	125
P07900-1,P07900-2	38	0	38
A8MW50,Q5U077,P07195,C9J7H8	0	18	18
P14618-1	44	0	44
A8K008,Q6PYX1,Q6MZV7,Q6N089,Q5EFE5,Q6GMX6,P01857	0	38	38
B2R4C5,P61626	35	79	114
P11021,Q2KHP4	0	35	35
B0YJC4,D3DRU4,P08670	73	0	73
B2RBR9,D3DTT3,Q14974	10	51	61
D9ZGG2,P04004	18	18	36
P49411	48	33	81
B2R7B5,B4E043,B4DDX2,Q07666-3,D3DPP3,Q07666-2,Q07666-1	0	33	33
A8K674,B2RDW1,Q3MIH3,Q5RKT7,P62979,P62987,B4DV12,Q5UGI3,P0CG47,Q5PY61,Q5U5U6,Q96C32,Q96MH4,P0CG48	0	38	38
P07900-1,Q8TBA7,P07900-2	0	31	31
Q9Y277-1,Q9Y277-2	7	33	40
Q15149-1,Q15149-2,Q15149-3,Q15149-4,Q15149-5,Q15149-6,Q15149-7,Q15149-8,Q15149-9	73	43	116
P49755,Q53GF9	12	29	41
A6NDF1,Q9BRX8	1	18	19
B3KUY2,B4DP11,B4DP21,Q15185	7	9	16
B4DGL0,P08238	31	0	31
P30041	0	28	28
D3DWH0,Q8N8Y7,P38159	28	16	44
P20142	16	0	16
P01009-1	30	0	30
B4DE36,B4DG39,B4DVJ0,P06744	0	21	21
P10909-1,Q8IWL5,P10909-2	0	35	35
B2R8Z8,O60506-1,O60506-2,O60506-3,O60506-4	0	22	22
B3KX72,Q00839-1	49	0	49
Q1KMD3	14	16	30
A8K3C3,B7Z2F4,B7Z2Z8,B7Z8B1,B7Z9L0,P50991	2	16	18
B2R6X5,B3KSM6,B4DHP5,Q53FC7,P17066	0	40	40
P04792	12	17	29
P23246-1,Q9BSV4,Q86VG2,P23246-2	0	37	37
D3DWQ2,P31943	22	23	45
B7Z6Z4,P60660-1,P60660-2	10	47	57
B4DLR3,Q00839-2	50	0	50
B3KM80,B3KTP9,P19338,Q6ZS99	0	25	25
Q6P2Q9	16	25	41
B4E3B6	50	0	50
A6NKT1,B2RE46,P04844,Q5JYR6	0	107	107
A8K651,Q07021	16	24	40
P37198	3	16	19
B3KPS3,B3KT06,P68363	44	0	44
P45880-1,P45880-2,P45880-3	7	12	19
B3KXM2,Q9UPN1,Q07161,P36873-1,P36873-2,P62136	18	35	53
B3KY95,B5MBW7,B7Z254,B7Z4M8,Q53RC7,Q15084-1,Q15084-2	27	0	27
P23284	31	5	36
Q6PIL8	0	24	24
O43143	7	35	42
P13647	36	0	36
B7Z4V2,Q8N1C8,P38646	36	0	36
A8K0R3,Q7Z532,B4DI63,P20774	0	24	24
B4DPP6,P02768-1	156	0	156
B4DF70,P32119	0	38	38
P05141,Q6NVC0	37	0	37
Q53FV0	27	0	27
B1AHM1,B4DZQ7,C9J5E1,Q59F66,Q92841-1,Q92841-2,Q92841-3,Q92841-4,C9JMU5	15	17	32
B4DP75,B4DW05,Q99623	0	28	28
B4E3K9,E1P5A9,Q7Z7M4,P04179	34	0	34
D3DQL6,P06748-1	60	0	60
B7ZW66	12	4	16
B3V8S3,Q1HE25,B4DHH3,B7TY16,P12814	0	62	62
P06733-1	38	0	38
A6NNI4,B4DPP0,D3DUQ9,P21926	0	14	14
Q71U36	41	0	41
P06576,Q0QEN7	80	0	80
D3DPZ8,Q06830	13	0	13
A8K092,B4DY56,P25705	0	89	89
A8MXP9,D3DQC3,D6REM6,Q68D11,P43243	0	29	29
A8MUB1,P68366	41	0	41
B2R6F3,B4E241,P84103	10	10	20
B3KSI4,B4DE31,B4DVU1,B4E022,Q53EM5,P29401	12	0	12
P26038	24	0	24
B4DTA2,O14979-1,O14979-2,O14979-3	0	23	23
P55795	23	23	46
D3DTZ3,Q07955-3,Q07955-1,Q07955-2,Q59FA2	18	0	18
A5PL27,Q1L857,B7Z5Q2,A8K5A4,P00450	0	16	16
A8K7T4,B4DWN1,D6RBV2,D6RDX1,Q12907	12	5	17
A6NBZ8,P02768-1	0	264	264
B4DGL0,B4DMA2,P08238	0	14	14
D3DV39,P06703	0	12	12
P23527,P33778,Q16778	179	0	179
B4DJV2,O75390	0	28	28
Q13151	25	14	39
P26599-1,Q9BUQ0,P26599-2,Q59H49	0	27	27
P26599-1,Q9BUQ0,P26599-2	18	0	18
B2R7W4,Q0VGD6,Q2L7G6,B4DMB1,Q6MZS5,O43390-1,O43390-2	0	39	39
A8KAP3,B3KX19,D3DX58,B4DK30,B4DZB1,Q6IBM8,Q8IXJ3,Q15029	16	0	16
P11047	16	6	22
B2RCS5,P35609	38	0	38
O14561	1	27	28
Q59G16,Q8TAQ2-1,Q8TAQ2-2,Q59GV3	20	0	20
B7Z5E3,P00338-1,P00338-2,D3DQY3,C9J4M5	0	11	11
B4DKS8,P52597	16	18	34
P62277	8	14	22
Q2NKY5	26	0	26
Q14683	7	19	26
P38919	13	7	20
P07437,Q5SU16	39	0	39
B4DL20,P04179,Q7Z7M4	0	23	23
B3KNB4,P61981	17	0	17
B3KU28	6	15	21
B4DMH5,B4E1U9,B7ZAY4,P60953-2	0	25	25
