	average A	average B	average C	average D
P98088	0.1254290361	0.6464274102	0.1151990794	0.1129444743
B7Z597	0.1746155787	0.1792845524	0.3059088768	0.3401909921
D1MGQ2,P69905	0.1567086309	0.295051257	0.2078454865	0.3403946256
P14625,Q5CAQ5	0.1901875536	0.1651450426	0.3254092669	0.3192581369
B4DW52	0.1826909642	0.1823637088	0.333163611	0.301781716
P07237	0.1829738735	0.2241488342	0.2672325843	0.325644708
Q05707-1	0.5096628947	0.2306969124	0.1218547035	0.1377854894
D9YZU5,P68871	0.1596287688	0.296207101	0.2096415075	0.3345226227
P04406,Q2TSD0	0.1278199544	0.1229906396	0.4227947959	0.3263946101
D0PNI1,P63104	0.1613005037	0.1579758792	0.4070306576	0.2736929594
D9ZGF2,P12111-1,P12111-2	0.3649337043	0.2413006039	0.1871772339	0.2065884579
B2R4S9,P62807,O60814	0.2601577304	0.1876852829	0.2646915813	0.2874654055
C9JCD7,Q0VAC0,P09651-1,Q6IPF2,P0C7M2,P09651-2,P09651-3	0.2136188546	0.1645715012	0.3061730626	0.3156365816
P06899,Q16778	0.2566516576	0.1914906585	0.2651626312	0.2866950528
P31949	0.2310141161	0.1706732185	0.3275130658	0.2707995996
P12109	0.4013238477	0.2598039568	0.1570227856	0.1818494099
B4DFL2,Q53GL5,P48735	0.1663721786	0.1984079901	0.2704410834	0.3647787478
A8K3E4,D3DP14,D3DP15,P02671-1,P02671-2	0.1726489575	0.1465989366	0.325051321	0.3557007848
Q4TWB7	0.1596675725	0.2971721775	0.2077656405	0.3353946095
B4DGP8,P27824,D3DWQ3	0.2063513874	0.1635785463	0.3162159618	0.3138541045
B4DE02,Q6LES2,P09525	0.1661350899	0.1760154698	0.341470176	0.3163792643
P11142-1,Q53GZ6,Q96IS6	0.1956855254	0.1798220813	0.3107722888	0.3137201045
B3VL17	0.1534512657	0.3003015743	0.2004281632	0.3458189967
P02675	0.1574748738	0.1320244922	0.3551091256	0.3553915085
B4E1D3,P02675	0.1347371489	0.1282288336	0.3039007459	0.4331332715
B8ZZ37,P22626-1,P22626-2	0.2105039856	0.175552651	0.2992927078	0.3146506556
D3DRU4,P08670	0.1935150331	0.1995824978	0.2142836436	0.3926188255
P06576	0.1930046887	0.2357287916	0.2720561115	0.2992104082
P06733-1,P06733-2	0.1333180466	0.1445315002	0.4020621713	0.3200882819
Q670S4	0.1609201984	0.2964488168	0.2073801137	0.335250871
B3KQT9,P30101	0.1542477675	0.1903114977	0.3107424947	0.3446982402
P78527-1,P78527-2	0.230453912	0.1753158226	0.2955343336	0.2986959317
O43707	0.222802464	0.1939062935	0.3241061609	0.2591850816
B4E3A4,Q1KLZ0,Q53GK6,Q53G99,Q53G76,P63261,Q8WVW5,P60709	0.1704884355	0.1809550728	0.3330258976	0.3155305941
A0N071,P02042	0.1612495139	0.3010044799	0.2088143118	0.3289316944
P35579-1,Q60FE2	0.1861384912	0.2233439675	0.3121660162	0.2783515252
P27797,Q53G71	0.1858337502	0.1628066527	0.3728693641	0.278490233
Q08211	0.227811554	0.16650035	0.3371810705	0.2685070255
B2R7D7,Q4JM47,Q53G64,Q4JM46,O95994	0.3470471591	0.4226739333	0.1067621337	0.1235167739
P05787	0.1810120218	0.2639415156	0.281309134	0.2737373285
P51884	0.3124460532	0.3455431846	0.1467330931	0.1952776691
C9JC84,P02679-2,P02679-1,C9JEU5	0.1426894678	0.1364883075	0.313961227	0.4068609977
P61604,Q9UNM1	0.1553055671	0.1958587757	0.298524039	0.3503116182
P01009-1,P01009-2,P01009-3	0.1376731375	0.1453965723	0.4111032006	0.3058270896
P09651-1,P09651-2,P09651-3	0.2402680314	0.1493021317	0.3306593592	0.2797704777
P20700	0.2282108468	0.1815671343	0.2797617402	0.3104602787
P22626-1	0.2474706215	0.1699317537	0.3242899873	0.2583076375
A8K401,Q6PUJ7,P35232	NaN	NaN	NaN	NaN
D6W4Z5,P27348	0.1772309944	0.1594543708	0.3811252403	0.2821893946
B4DDB6,D3DPF4,P51991-1,B4E3E6,P51991-2	0.229875626	0.167298794	0.2759798706	0.3268457093
P60709,Q1KLZ0,Q8WVW5,Q53G76,Q53G99,Q53GK6,P63261	0.1984742279	0.1926498805	0.3270291477	0.281846744
D3DTH5,Q4VJB6,P62258	0.1574493709	0.1544679764	0.4197449234	0.2683377292
D3DQL6,P06748-1,P06748-2	0.2352950252	0.169003547	0.2939420332	0.3017593946
B3KY95,B5MBW7,B7Z254,Q53RC7,Q15084-1,Q15084-2	0.1553728274	0.1620274984	0.3441706532	0.338429021
P40926,Q6FHZ0,Q75MT9	0.1883548005	0.2114477991	0.2951056114	0.305091789
P11021	0.204839568	0.1796080734	0.3358941266	0.279658232
P05141	0.1929083075	0.2254356492	0.2821257869	0.2995302564
B3KNB4,B4DHC4,P61981	0.1708864231	0.1621273342	0.3857088694	0.2812773732
D3DNB6,Q6IBR0,Q53EP4,Q96HX3,P04843	0.2112849064	0.1985148768	0.2959493596	0.2942508572
Q05707-1,Q05707-2	0.5453841025	0.1868497773	0.1501857959	0.1175803244
P16104	0.2357005226	0.2027576211	0.266785927	0.2947559293
A8K220,B2RE56,A8K486,P62937	0.1507058752	0.1640130987	0.3788045629	0.3064764632
P68371,Q8IZ29	0.2285892346	0.1685063046	0.3474757677	0.2554286932
P31946-1,P31946-2	0.1822530929	0.1619904879	0.3845870503	0.2711693688
P68431	0.2214502071	0.1777674016	0.2966435097	0.3041388816
P45973,Q6I9T7	0.2151221013	0.1721423663	0.2837665928	0.3289689396
P30101	0.1982815383	0.1871642849	0.3214711845	0.2930829923
P02545-1,Q5I6Y6	0.3373589621	0.2418635505	0.2190026111	0.2017748763
P52272-1,P52272-2	0.2098948847	0.1732135243	0.284108643	0.3327829481
A8K5I0,B4DWK5,Q59EJ3,P08107,B4DNT8,B4DI39	0.1658252898	0.2269334413	0.3101605865	0.2970806824
A3KPC7,P0C0S8,Q9BTM1-1,Q99878,Q7L7L0,Q96KK5,Q16777,P20671,Q6FI13,Q93077,Q08AJ9,B2R5B3,P04908,A4FTV9	0.2385299202	0.2093989596	0.2651853993	0.2868857209
D3DVB0,P02545-2	0.336203554	0.2397869786	0.2233339022	0.2006755652
P13010	0.2226757466	0.165043523	0.3010927033	0.3111880271
P0C0S5,Q71UI9	0.2464313952	0.2092963269	0.2644846631	0.2797876148
P11142-1	0.2351322774	0.1741026536	0.3319142324	0.2588508366
A8K3K1,B7Z6P1,P68032,P68133	0.1890333209	0.2001770683	0.3062263968	0.3045632139
Q8TDL5-1	0.2347588108	0.5857188133	0.0857816737	0.0937407021
B4DNK4,B4DUU6,P14618-1	0.1484243102	0.131572241	0.3893799448	0.3306235039
