	peptide count	description
Q9UII2-1	2	Isoform 1 of ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1
P09326	8	CD48 antigen OS=Homo sapiens GN=CD48
P07437	9	Tubulin beta chain OS=Homo sapiens GN=TUBB
P13569-1	13	Isoform 1 of Cystic fibrosis transmembrane conductance regulator OS=Homo sapiens GN=CFTR
Q96H12	4	Myb/SANT-like DNA-binding domain-containing protein 3 OS=Homo sapiens GN=MSANTD3
P08727	9	Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19
P01834	1	Ig kappa chain C region OS=Homo sapiens GN=IGKC
Q9H7P9-1	4	Isoform 1 of Pleckstrin homology domain-containing family G member 2 OS=Homo sapiens GN=PLEKHG2
Q8N2S1-2	3	Isoform 2 of Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens GN=LTBP4
P15586	15	N-acetylglucosamine-6-sulfatase OS=Homo sapiens GN=GNS
P36269-1	4	Isoform 1 of Gamma-glutamyltransferase 5 OS=Homo sapiens GN=GGT5
Q9H2H0	6	CXXC-type zinc finger protein 4 OS=Homo sapiens GN=CXXC4
P43487	5	Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1
Q5VYS8-1	22	Isoform 1 of Terminal uridylyltransferase 7 OS=Homo sapiens GN=ZCCHC6
Q687X5-1	11	Isoform 1 of Metalloreductase STEAP4 OS=Homo sapiens GN=STEAP4
Q9UBX1	11	Cathepsin F OS=Homo sapiens GN=CTSF
Q86UU5-1	7	Isoform 1 of Gametogenetin OS=Homo sapiens GN=GGN
O60245-1	16	Isoform A of Protocadherin-7 OS=Homo sapiens GN=PCDH7
Q96AY3	8	Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens GN=FKBP10
Q5JR59-2	28	Isoform 1 of Microtubule-associated tumor suppressor candidate 2 OS=Homo sapiens GN=MTUS2
O60245-3	18	Isoform C of Protocadherin-7 OS=Homo sapiens GN=PCDH7
Q9UK55	10	Protein Z-dependent protease inhibitor OS=Homo sapiens GN=SERPINA10
Q15154-1	43	Isoform 1 of Pericentriolar material 1 protein OS=Homo sapiens GN=PCM1
P54289-1	15	Isoform 1 of Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1
P27169	5	Serum paraoxonase/arylesterase 1 OS=Homo sapiens GN=PON1
P07204	2	Thrombomodulin OS=Homo sapiens GN=THBD
Q14012	5	Calcium/calmodulin-dependent protein kinase type 1 OS=Homo sapiens GN=CAMK1
P13796	12	Plastin-2 OS=Homo sapiens GN=LCP1
Q7Z5A8-1	1	Isoform 1 of Protein FAM19A3 OS=Homo sapiens GN=FAM19A3
P41279-1	4	Isoform 1 of Mitogen-activated protein kinase kinase kinase 8 OS=Homo sapiens GN=MAP3K8
P01877	1	Ig alpha-2 chain C region OS=Homo sapiens GN=IGHA2
P16284-6	12	Isoform Delta15 of Platelet endothelial cell adhesion molecule OS=Homo sapiens GN=PECAM1
Q9BXM0-1	2	Isoform 1 of Periaxin OS=Homo sapiens GN=PRX
P19075	1	Tetraspanin-8 OS=Homo sapiens GN=TSPAN8
P16284-3	12	Isoform Delta13 of Platelet endothelial cell adhesion molecule OS=Homo sapiens GN=PECAM1
Q5GJ75	5	Tumor necrosis factor alpha-induced protein 8-like protein 3 OS=Homo sapiens GN=TNFAIP8L3
Q9Y5H0-1	10	Isoform 1 of Protocadherin gamma-A3 OS=Homo sapiens GN=PCDHGA3
Q68DC2-1	12	Isoform 1 of Ankyrin repeat and SAM domain-containing protein 6 OS=Homo sapiens GN=ANKS6
O60896	2	Receptor activity-modifying protein 3 OS=Homo sapiens GN=RAMP3
Q96AE7	11	Tetratricopeptide repeat protein 17 OS=Homo sapiens GN=TTC17
P52756-1	15	Isoform 1 of RNA-binding protein 5 OS=Homo sapiens GN=RBM5
Q9BRK3-2	2	Isoform 2 of Matrix-remodeling-associated protein 8 OS=Homo sapiens GN=MXRA8
P04075	6	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA
Q9NQX1-1	15	Isoform 1 of PR domain zinc finger protein 5 OS=Homo sapiens GN=PRDM5
Q4L180-1	24	Isoform 1 of Filamin A-interacting protein 1-like OS=Homo sapiens GN=FILIP1L
P49746	4	Thrombospondin-3 OS=Homo sapiens GN=THBS3
O00391-1	10	Isoform 1 of Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1
P52823	6	Stanniocalcin-1 OS=Homo sapiens GN=STC1
P06681-1	12	Isoform 1 of Complement C2 OS=Homo sapiens GN=C2
Q5VUA4-1	20	Isoform 1 of Zinc finger protein 318 OS=Homo sapiens GN=ZNF318
Q9BXF3-3	14	Isoform C of Cat eye syndrome critical region protein 2 OS=Homo sapiens GN=CECR2
Q8N8A2-2	13	Isoform 2 of Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Homo sapiens GN=ANKRD44
Q8IYB1	6	Protein MB21D2 OS=Homo sapiens GN=MB21D2
P68871	8	Hemoglobin subunit beta OS=Homo sapiens GN=HBB
Q9Y281-1	3	Isoform CFL2b of Cofilin-2 OS=Homo sapiens GN=CFL2
P06681-2	11	Isoform 2 of Complement C2 OS=Homo sapiens GN=C2
Q04695	7	Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17
Q8IV36-1	4	Isoform 1 of Protein HID1 OS=Homo sapiens GN=HID1
P16870-1	10	Isoform 1 of Carboxypeptidase E OS=Homo sapiens GN=CPE
B0I1T2-1	12	Isoform 1 of Unconventional myosin-Ig OS=Homo sapiens GN=MYO1G
Q9C0D2-3	19	Isoform 3 of Centrosomal protein KIAA1731 OS=Homo sapiens GN=KIAA1731
Q07002-1	4	Isoform 1 of Cyclin-dependent kinase 18 OS=Homo sapiens GN=CDK18
Q9NRB3	6	Carbohydrate sulfotransferase 12 OS=Homo sapiens GN=CHST12
Q6UXG2-1	7	Isoform 1 of UPF0577 protein KIAA1324 OS=Homo sapiens GN=KIAA1324
P00533-1	15	Isoform 1 of Epidermal growth factor receptor OS=Homo sapiens GN=EGFR
Q14624-1	16	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4
Q9HAU5-2	16	Isoform 2 of Regulator of nonsense transcripts 2 OS=Homo sapiens GN=UPF2
O75691	20	Small subunit processome component 20 homolog OS=Homo sapiens GN=UTP20
Q14624-2	15	Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens GN=ITIH4
O60609-2	7	Isoform 2 of GDNF family receptor alpha-3 OS=Homo sapiens GN=GFRA3
P14317	5	Hematopoietic lineage cell-specific protein OS=Homo sapiens GN=HCLS1
Q86VU5	1	Catechol O-methyltransferase domain-containing protein 1 OS=Homo sapiens GN=COMTD1
P13688-2	9	Isoform 2 of Carcinoembryonic antigen-related cell adhesion molecule 1 OS=Homo sapiens GN=CEACAM1
