Accession	STZ_3_G	STZ_4_G	STZ_6_G	STZ_9_G	STZ_10_G	STZ_12_G	STZ_27_G	STZ_15_G	STZ_20_G	STZ_24_G	STZ_30_G	STZ_32_G
Q3TA96	13.6748529727023	14.6131371025177	15.640537135349	15.1258295638045	15.137030566617	15.9492732857095	16.2275261732609	15.2703708315209	16.9028807698312	17.1479915462413	16.4681842434456	18.5433294168176
Q2M4I8	18.7724030435448	19.0971220797941	16.9775162993412	20.0896362272174	17.3833736567674	16.8265142492867	19.0551387518156	22.0386502461841	22.4207422150622	20.2225063368805	18.9091445671191	17.5025352526712
P31809-3	16.6898088857223	15.5911044946802	15.4484474952251	14.496040149948	13.3583023504436	17.0320422796611	16.6536242230519	11.5422783403868	14.9168123207732	14.838182334543	14.5232360055274	16.9810691372695
Q3UR55	22.9898185984288	24.2318374708454	22.9384010571424	25.1274402836006	22.8960463124089	20.1632994287602	23.0231458692992	26.8969506864225	21.8158607619739	23.7352716981425	23.9447539345696	20.8535735763679
Q3UC80	12.1894969698913	13.8865547084458	13.649206587097	13.2647947375437	11.8563556002694	14.079171651864	14.8840875192429	NA	13.5209072490149	11.6164597740869	14.449339279753	14.0799238707542
E9Q5D9	11.3847149641593	8.92640105896975	14.9046969418336	13.4320554618775	10.2020189581131	16.0071019091276	13.6300256822334	8.81483670969847	10.1509873834376	11.1833593149931	14.4212322818207	13.302512398122
Q8R121-2	10.108711456572	9.43244546293849	11.4877616264023	9.07188841638359	10.0169491439922	6.82721610850993	14.1322483414212	12.056034102199	11.7239773566364	13.424572921155	NA	8.16844103171827
C6EQH3	17.8427905375955	17.2829482779202	13.2129154577805	17.5088410117736	14.0509060931942	11.786248043607	14.2659675930864	18.2490140928419	13.8279754174669	12.8627358282294	15.2435247157461	11.487152653356
Q3U7T2	13.2087279645564	10.2856359268296	6.7759470290318	9.14737654492214	8.95837631880536	12.5176543375429	13.5838592114019	10.9886946601595	14.5067995514817	13.0443975019226	12.7011543941648	15.7313244115038
P41230	11.7435181037102	14.1466693986157	9.87685095240849	14.7338134682454	1.27024487182505	NA	10.7904626559131	13.5035794778623	8.33523315716295	10.9956705888154	12.5997404479394	NA
Q60825	15.5476337174305	12.1321486243691	9.95403637949012	8.78978611274788	9.69359340641245	11.9625263631801	8.829122347282	NA	5.90561044112804	9.24716561505606	8.3724292217191	8.73050316829229
Q3U131	12.8576752915281	10.542516626558	15.0443261339152	11.9669322047544	NA	15.8816825191746	12.1102635505794	11.1077258463106	11.6069887546967	12.2235894955595	14.929711493469	13.9416811530528
O09117	9.97740350742243	9.47322447521987	7.3882378506873	NA	10.7006790546043	NA	8.96068301122355	NA	9.80618253707357	8.49107317300814	9.37456077356075	9.5079318148956
Q9Z1T6	15.4015925801943	13.0888071477373	10.2133794903446	12.0564161248873	10.9811337329179	12.4329742831508	7.93643921403886	15.6375957178774	15.7050985314124	12.7645672245864	11.036828128463	9.63826857212164
Q8BYU6	13.5274911466284	13.4976754288331	13.6695241274273	13.7188716380551	14.8901575734073	13.3359389523941	12.8377564414357	13.834628487702	12.8920191679566	14.1959007208224	13.3831510340844	13.0279492567149
O89020	18.4686656236717	17.975876279423	13.56540193358	16.9471638697473	12.7003930160841	15.9513894035749	17.0583262810669	16.5008841211005	18.333581531995	14.2747747402604	16.633239203232	14.682219801374
Q9EP98	14.4910954099745	15.8344567696105	16.4181615536906	16.7358644494679	17.0226166014849	16.1880069047619	16.4273104522331	16.2020152668404	15.4647745121549	17.8587118711345	17.3339513890791	18.5440471950361
Q8BIS2	NA	14.790213168785	4.46627613675199	13.0863046237983	NA	9.98505206770167	15.0195409194176	NA	NA	9.10799967507852	NA	9.68166380641256
Q9ESG4	8.66464780889412	16.1212260711567	15.5246051523829	13.5153791402701	13.4613400196479	15.3598209642238	12.0319188536434	9.35324057169605	12.0250070333631	12.4591133723671	11.7549113353858	4.37518237101395
E9Q2N4	13.3627529946027	14.3581304201962	14.1067014676657	13.8084978441677	14.2964028449469	14.0542213321409	15.0639830021433	15.3402275166188	14.7612276938628	15.6987505898372	14.5057476334398	15.531047249374
Q3TJN6	12.9445687276096	13.0839323877194	14.940653307959	14.4584026570614	15.596654575329	14.5892222018201	14.7282014896623	15.5739749199025	13.7582592567181	15.7701208323863	14.7240825371269	14.8419923171518
